head,relation,tail
2021版马克思主义基本原理（全书）,包含,导 论
2021版马克思主义基本原理（全书）,包含,第一章　世界的物质性及发展规律
2021版马克思主义基本原理（全书）,包含,第二章　实践与认识及其发展规律
2021版马克思主义基本原理（全书）,包含,第三章　人类社会及其发展规律
2021版马克思主义基本原理（全书）,包含,第四章　资本主义的本质及规律
2021版马克思主义基本原理（全书）,包含,第五章　资本主义的发展及其趋势
2021版马克思主义基本原理（全书）,包含,第六章　社会主义的发展及其规律
2021版马克思主义基本原理（全书）,包含,第七章　共产主义崇高埋怨及其最终实现
导 论,包含,一、什么是马克思主义
导 论,包含,二、马克思主义的创立与发展
导 论,包含,三、马克思主义的鲜明特征
导 论,包含,四、马克思主义的当代价值
导 论,包含,五、自觉学习和运用马克思主义
第一章　世界的物质性及发展规律,包含,第一节　世界多样性与物质统一性
第一章　世界的物质性及发展规律,包含,第二节　事物的普遍联系和变化发展
第一章　世界的物质性及发展规律,包含,第三节　唯物辩证法是认识世界和改造世界的根本方法
第二章　实践与认识及其发展规律,包含,第一节　实践与认识
第二章　实践与认识及其发展规律,包含,第二节　真理与价值
第二章　实践与认识及其发展规律,包含,第三节　认识世界和改造世界
第三章　人类社会及其发展规律,包含,第一节　人类社会的存在与发展
第三章　人类社会及其发展规律,包含,第二节　社会历史发展的动力
第三章　人类社会及其发展规律,包含,第三节　人民群众在历史发展中的作用
第四章　资本主义的本质及规律,包含,第一节　商品经济和价值规律
第四章　资本主义的本质及规律,包含,第二节　资本主义经济制度的本质
第四章　资本主义的本质及规律,包含,第三节　资本主义政治制度和意识形态
第五章　资本主义的发展及其趋势,包含,第一节　垄断资本主义的形成与发展
第五章　资本主义的发展及其趋势,包含,第二节　正确认识当代资本主义的新变化
第五章　资本主义的发展及其趋势,包含,第三节　资本主义的历史地位和发展趋势
第六章　社会主义的发展及其规律,包含,第一节　社会主义五百年的历史进程
第六章　社会主义的发展及其规律,包含,第二节　科学社会主义基本原则
第六章　社会主义的发展及其规律,包含,第三节　在实践中探索现实社会主义的发展规律
第七章　共产主义崇高埋怨及其最终实现,包含,第一节　展望未来共产主义新社会
第七章　共产主义崇高埋怨及其最终实现,包含,第二节　实现共产主义是历史发展的必然趋势
第七章　共产主义崇高埋怨及其最终实现,包含,第三节　共产主义远大理想、与中国特色社会主义共同理想
二、马克思主义的创立与发展,包含,（一）马克思主义的创立
二、马克思主义的创立与发展,包含,（二）马克思主义的发展
三、马克思主义的鲜明特征,包含,（一）科学性
三、马克思主义的鲜明特征,包含,（二）人民性
三、马克思主义的鲜明特征,包含,（三）实践性
三、马克思主义的鲜明特征,包含,（四）发展性
四、马克思主义的当代价值,包含,（一）观察当代世界变化的认识工具
四、马克思主义的当代价值,包含,（二）指引当代中国发展的行动指南
四、马克思主义的当代价值,包含,（三）引领人类社会进步的科学真理
第一节　世界多样性与物质统一性,包含,一、物质及其存在方式
第一节　世界多样性与物质统一性,包含,二、物质与意识的辩证关系
第一节　世界多样性与物质统一性,包含,三、世界的物质统一性
第二节　事物的普遍联系和变化发展,包含,一、联系和发展的普遍性
第二节　事物的普遍联系和变化发展,包含,二、对立统一规律是事物发展的根本规律
第二节　事物的普遍联系和变化发展,包含,三、量变质变规律和否定之否定规律
第二节　事物的普遍联系和变化发展,包含,四、联系和发展的基本环节
第三节　唯物辩证法是认识世界和改造世界的根本方法,包含,一、唯物辩证法的本质特征和认识功能
第三节　唯物辩证法是认识世界和改造世界的根本方法,包含,二、辩证思维方法与现代科学思维方法
第三节　唯物辩证法是认识世界和改造世界的根本方法,包含,三、学习唯物辩证法，不断增强思维能力
第一节　实践与认识,包含,一、科学的实践观及其意义
第一节　实践与认识,包含,二、实践的本质与基本结构
第一节　实践与认识,包含,三、认识的本质与过程
第一节　实践与认识,包含,四、实践与认识的辩证运动及其规律
第二节　真理与价值,包含,一、真理的客观性、绝对性和相对性
第二节　真理与价值,包含,二、真理的检验标准
第二节　真理与价值,包含,三、真理与价值的辩证统一
第三节　认识世界和改造世界,包含,一、认识世界和改造世界相结合
第三节　认识世界和改造世界,包含,二、一切从实际出发，实事求是
第三节　认识世界和改造世界,包含,三、实现理论创新和实践创新的良性互动
第一节　人类社会的存在与发展,包含,一、社会存在与社会意识
第一节　人类社会的存在与发展,包含,二、社会基本矛盾及其运动规律
第一节　人类社会的存在与发展,包含,三、人类普遍交往与世界历史的形成发展
第一节　人类社会的存在与发展,包含,四、社会形态更替的一般规律及特殊形式
第二节　社会历史发展的动力,包含,一、社会基本矛盾在历史发展中的作用
第二节　社会历史发展的动力,包含,二、阶级斗争和社会革命在阶级社会发展中的作用
第二节　社会历史发展的动力,包含,三、改革在社会发展中的作用
第二节　社会历史发展的动力,包含,四、科学技术在社会发展中的作用
第三节　人民群众在历史发展中的作用,包含,一、人民群众是历史的创造者
第三节　人民群众在历史发展中的作用,包含,二、个人在社会历史中的作用
