head,relation,tail
第一章　世界的物质性及发展规律,包含,第一节　世界多样性与物质统一性
第一章　世界的物质性及发展规律,包含,第二节　事物的普遍联系和变化发展
第一章　世界的物质性及发展规律,包含,第三节　唯物辩证法是认识世界和改造世界的根本方法
第一节　世界多样性与物质统一性,包含,一、物质及其存在方式
第一节　世界多样性与物质统一性,包含,二、物质与意识的辩证关系
第一节　世界多样性与物质统一性,包含,三、世界的物质统一性
第二节　事物的普遍联系和变化发展,包含,一、联系和发展的普遍性
第二节　事物的普遍联系和变化发展,包含,二、对立统一规律是事物发展的根本规律
第二节　事物的普遍联系和变化发展,包含,三、量变质变规律和否定之否定规律
第二节　事物的普遍联系和变化发展,包含,四、联系和发展的基本环节
第三节　唯物辩证法是认识世界和改造世界的根本方法,包含,一、唯物辩证法的本质特征和认识功能
第三节　唯物辩证法是认识世界和改造世界的根本方法,包含,二、辩证思维方法与现代科学思维方法
第三节　唯物辩证法是认识世界和改造世界的根本方法,包含,三、学习唯物辩证法，不断增强思维能力
一、物质及其存在方式,包含,（一）哲学的物质范畴
一、物质及其存在方式,包含,（二）物质的存在方式
二、物质与意识的辩证关系,包含,（一）物质决定意识
二、物质与意识的辩证关系,包含,（二）意识对物质具有反作用
二、物质与意识的辩证关系,包含,（三）主观能动性和客观规律性的辩证统一
二、物质与意识的辩证关系,包含,（四）意识与人工智能
一、联系和发展的普遍性,包含,（一）事物的普遍联系
一、联系和发展的普遍性,包含,（二）事物的变化发展
二、对立统一规律是事物发展的根本规律,包含,（一）矛盾的同一性和斗争性及其在事物发股中的作用
二、对立统一规律是事物发展的根本规律,包含,（二）矛盾的普遍性和特殊性及其相互关系
三、量变质变规律和否定之否定规律,包含,（一）量变质变规律
三、量变质变规律和否定之否定规律,包含,（二）否定之否定规律
四、联系和发展的基本环节,包含,（一）内容与形式
四、联系和发展的基本环节,包含,（二）本质与现象
四、联系和发展的基本环节,包含,（三）原因与结果
四、联系和发展的基本环节,包含,（四）必然与偶然
四、联系和发展的基本环节,包含,（五）现实与可能
一、唯物辩证法的本质特征和认识功能,包含,（一）唯物辩证法本质上是批判的和革命的
一、唯物辩证法的本质特征和认识功能,包含,（二）唯物辩证法是客观辩证法与主观辩证法的统一
一、唯物辩证法的本质特征和认识功能,包含,（三）唯物辩证法是科学的认识方法
二、辩证思维方法与现代科学思维方法,包含,（一）辩证思维方法
二、辩证思维方法与现代科学思维方法,包含,（二）现代科学思维方法
三、学习唯物辩证法，不断增强思维能力,包含,（一）辩证思维能力
三、学习唯物辩证法，不断增强思维能力,包含,（二）历史思维能力
三、学习唯物辩证法，不断增强思维能力,包含,（三）系统思维能力
三、学习唯物辩证法，不断增强思维能力,包含,（四）战略思维能力
三、学习唯物辩证法，不断增强思维能力,包含,（五）底线思维能力
三、学习唯物辩证法，不断增强思维能力,包含,（六）创新思维能力
