head,relation,tail
第五章　资本主义的发展及其趋势,包含,第一节　垄断资本主义的形成与发展
第五章　资本主义的发展及其趋势,包含,第二节　正确认识当代资本主义的新变化
第五章　资本主义的发展及其趋势,包含,第三节　资本主义的历史地位和发展趋势
第一节　垄断资本主义的形成与发展,包含,一、资本主义从自由竞争到垄断
第一节　垄断资本主义的形成与发展,包含,二、垄断资本主义的发展
第一节　垄断资本主义的形成与发展,包含,三、经济全球化及其影响
第二节　正确认识当代资本主义的新变化,包含,一、第二次世界大战后资本主义的变化及其实质
第二节　正确认识当代资本主义的新变化,包含,二、2008年国际金融危机以来资本主义的矛盾与冲突
第三节　资本主义的历史地位和发展趋势,包含,一、资本主义的历史地位
第三节　资本主义的历史地位和发展趋势,包含,二、资本主义为社会主义所代替的历史必然性
一、资本主义从自由竞争到垄断,包含,（一）生产集中与垄断的形成
一、资本主义从自由竞争到垄断,包含,（二）垄断条件下觉争的特点
一、资本主义从自由竞争到垄断,包含,（三）金融资本与金融寡头
一、资本主义从自由竞争到垄断,包含,（四）垄断利润和搓｜所价格
二、垄断资本主义的发展,包含,（一）国家垄断资本主义的形成及作用
二、垄断资本主义的发展,包含,（二）金融垄断资本的发展
二、垄断资本主义的发展,包含,（三）垄断资本向世界范围的扩展
二、垄断资本主义的发展,包含,（四）垄断资本主义的实质
三、经济全球化及其影响,包含,（一）经济全球化的表现
三、经济全球化及其影响,包含,（二）经济全球化的动因
三、经济全球化及其影响,包含,（三）经济全球化的影响
一、第二次世界大战后资本主义的变化及其实质,包含,（一）变化的主要表现
一、第二次世界大战后资本主义的变化及其实质,包含,（二）变化的原因和实质
