head,relation,tail
第六章　社会主义的发展及其规律,包含,第一节　社会主义五百年的历史进程
第六章　社会主义的发展及其规律,包含,第二节　科学社会主义基本原则
第六章　社会主义的发展及其规律,包含,第三节　在实践中探索现实社会主义的发展规律
第一节　社会主义五百年的历史进程,包含,一、社会主义从空想到科学
第一节　社会主义五百年的历史进程,包含,二、社会主义从理想到现实
第一节　社会主义五百年的历史进程,包含,三、社会主义从一国到多因
第一节　社会主义五百年的历史进程,包含,四、社会主义在中国焕发出强大生机活力
第二节　科学社会主义基本原则,包含,一、科学社会主义基本原则及其主要内容
第二节　科学社会主义基本原则,包含,二、正确把握科学社会主义基本原则
第二节　科学社会主义基本原则,包含,三、科学社会主义基本原则与中国特色社会主义
第三节　在实践中探索现实社会主义的发展规律,包含,一、经济文化相对落后国家建设社会主义的长期性
第三节　在实践中探索现实社会主义的发展规律,包含,二、社会主义发展道路的多样性
第三节　在实践中探索现实社会主义的发展规律,包含,三、社会主义在实践中开拓前进
二、社会主义从理想到现实,包含,（一）第一国际与巴黎公社
二、社会主义从理想到现实,包含,（二）十月革命胜利与第一个社会主义国家的建立
三、社会主义从一国到多因,包含,（一）社会主义在苏联一国的实践
三、社会主义从一国到多因,包含,（二）社会主义发展到多个国家
二、社会主义发展道路的多样性,包含,（一）社会主义发展道路多样性的原因
二、社会主义发展道路的多样性,包含,（二）探索适合本国国惰的发展道路
三、社会主义在实践中开拓前进,包含,（一）在实践中开拓前进是社会主义事业发展的必然要求
三、社会主义在实践中开拓前进,包含,（二）社会主义在实践中开拓前进必须遵循客观规律
三、社会主义在实践中开拓前进,包含,（三）以自信担当、开拓奋进的姿态走向社会主义光明未来
