head,relation,tail
第四章　资本主义的本质及规律,包含,第一节　商品经济和价值规律
第四章　资本主义的本质及规律,包含,第二节　资本主义经济制度的本质
第四章　资本主义的本质及规律,包含,第三节　资本主义政治制度和意识形态
第一节　商品经济和价值规律,包含,一、商品经济的形成和发展
第一节　商品经济和价值规律,包含,二、价值规律及其作用
第一节　商品经济和价值规律,包含,三、以私有制为基础的商品经济的基本矛盾
第一节　商品经济和价值规律,包含,四、科学认识马克思劳动价值论
第二节　资本主义经济制度的本质,包含,一、资本主义经济制度的产生
第二节　资本主义经济制度的本质,包含,二、好动力成为商品与货币转化为资本
第二节　资本主义经济制度的本质,包含,三、资本主义所有制
第二节　资本主义经济制度的本质,包含,四、生产剩余价值是资水主义生产方式的绝对规律
第二节　资本主义经济制度的本质,包含,五、资本主义的基木矛的与经济危机
第三节　资本主义政治制度和意识形态,包含,一、资本主义政治制度及其本质
第三节　资本主义政治制度和意识形态,包含,二、资本主义意识形态及其本质
一、商品经济的形成和发展,包含,（一）商品经济产生的历史条件
一、商品经济的形成和发展,包含,（二）商品的二因素和生产商品的劳动的二重性
一、商品经济的形成和发展,包含,（三）商品价值量的决定
一、商品经济的形成和发展,包含,（四）价值形式的发股与货币的产生
四、科学认识马克思劳动价值论,包含,（一）马克思劳动价值论的理论和实践意义
四、科学认识马克思劳动价值论,包含,（二）深化对马克思劳动价值论的认识
一、资本主义经济制度的产生,包含,（一）前资本主义社会形态的演进和更替
一、资本主义经济制度的产生,包含,（二）资本主义生产关系的产生
一、资本主义经济制度的产生,包含,（三）资本的原始积累
一、资本主义经济制度的产生,包含,（四）资本主义制度的确立
二、好动力成为商品与货币转化为资本,包含,（一）劳动力成为商品的基本条件
二、好动力成为商品与货币转化为资本,包含,（二）劳动力商品的特点与货币转化为资本
三、资本主义所有制,包含,（一）资本主义所有制的含义
三、资本主义所有制,包含,（二）资本主义所有制的本质
四、生产剩余价值是资水主义生产方式的绝对规律,包含,（一）剩余价值的生产过程和资本的不同部分在剩余价值生产中的作用
四、生产剩余价值是资水主义生产方式的绝对规律,包含,（二）剩余价值生产的两种基本方法
四、生产剩余价值是资水主义生产方式的绝对规律,包含,（三）资本积累
四、生产剩余价值是资水主义生产方式的绝对规律,包含,（四）资本的循环周转与再生产
四、生产剩余价值是资水主义生产方式的绝对规律,包含,（五）工资与剩余价值的分配
四、生产剩余价值是资水主义生产方式的绝对规律,包含,（六）剩余价值理论的意义
五、资本主义的基木矛的与经济危机,包含,（一）资本主义基本矛盾
五、资本主义的基木矛的与经济危机,包含,（二）资本主义经济危机
一、资本主义政治制度及其本质,包含,（一）资本主义国家的职能和本质
一、资本主义政治制度及其本质,包含,（二）资本主义的民主制度及其本质
二、资本主义意识形态及其本质,包含,（一）资本主义意识形态的形成
二、资本主义意识形态及其本质,包含,（二）资本主义意识形态的本质
