head,relation,tail
经济基础,决定,上层建筑
列宁,回国,1917年10月20日
张香玉,从青海到北京,1987年3月
习近平,做演讲,2014年6月3日
习近平,发表讲话,2014年6月9日
习近平,主持召开会议,2014年8月18日
习近平,主持召开会议,2015年11月9日
习近平,视察工作,2015年12月16日
习近平,作出重要指示,2016年4月24日
习近平,发表讲话,2016年5月30日
习近平,发表演讲,2017年1月18日
英国,遭遇恐怖袭击,2017年3月
《北京科技报》,报道了该消息,4月15日
美国公民自由联合会,提出上诉,5月27日
《百科知识》,发表,《唯灵论·心灵研究·超心理学·人体特异功能研究》
《浮士德》,包含,《天上序幕》
《哥达纲领批判》,丰富,科学社会主义
《共产党宣言》,发表,1848年2月
《光明日报》,刊登,《实践是检验真理的唯一标准》
《汉书》,有,《佞传》
《科学画报》,刊载,《用耳朵能看见东西吗？》
《莱茵报》,属于,资产阶级
《论语》,不是,宗教
《气功与科学》,发表,《现实和我们身边的神话》
《气功与科学》,发表,《严新报告》
《生态文明体制改革总体方案》,加快建立,生态文明
《史记》,有,《佞辛传》
《中共中央关于全面深化改革若干重大问题的决定》,提到,创新
《中国社会科学》,发表,《PSI和他的变种——人体特异功能》
《资本论》,是政治经济学中的,革命
1784年,创办了棉纺织厂,苏格兰
1825年,爆发经济危机,英国
1831年,发生起义,里昂
1848年,爆发革命,欧洲
1848年2月,出版,《共产党宣言》
1848年2月,发表,《共产党宣言》
1867年9月,发表,《资本论》
1883年3月34日,去世,马克思
1889年,诞生,第二国际
1895年8月5日,与世长辞,恩格斯
1960年,出版,《马克思恩格斯全集》
1991年,改建,欧盟
1999年,发起了投票,英国
2004年,任职村支书,沈浩
2007年,上映,《承受清风》
2012年,出版,《列宁全集》
2012年,出版,《列宁选集》
2012年,出版,《马克思恩格斯选集》
2017年,出版,《列宁全集》
2018年,修订,马克思主义基本原理
2020年,出版,《求是》
20世纪70年代,经济陷入滞胀,资本主义
4月19,对某人进行了测试,中国科学院心理研究所
爱迪生,反对,交流电
爱因斯坦,创立,相对论
巴黎,属于,德国
巴黎公社,是精神产儿,第一国际
巴黎公社,是伟大尝试,无产阶级
巴门市,属于,莱茵省
柏拉图,提出了,观点
柏林大学,曾对待不公,杜林
贝淡宁,提到了,成都
贝克莱,写了,《人类知识原理》
本质,决定,现象
本质,相互区别,现象
本质,相互依存,现象
本质辩证思维能力,是,抽象思维能力
本质和使命,展现,理论形象
比例,取决于,发展水平
必然,辩证统一,偶然
必然,不能脱离,偶然
必然,相互依存,偶然
必然,相互转化,偶然
必然,向其飞跃,自由
必然性·,根源于,过程
编译,是,否定
鞭策,来自,御马
变革,导致,变革
变革,取决于,发展
变革,推动,发展
变更,引起,变革
变更,决定,方向
变化,受制于,变化或变革
变化,决定于,发展
变化,决定了,社会历史性
变化,是其关键词,唯物辩证法
变化发展,决定,更替和发展
便宜,取决于,生产率
辩证法,应用于,反映论
辩证法,是,革命的
辩证法,是,批判的
辩证思维方法,揭示,关系
辩证唯物主义认识论,阐述,认识活动及其规律
表面性,是,主观性
伯恩施,走上了,道路
伯恩施,否定,基本原则
伯兰特·罗素,属于,哲学
博爱,是箴言,革命
布鲁塞尔,是其首都,比利时
布什,是其总统,美国
陈守良,写成,《关于人体一种特殊感应技能的调查报告》
陈先达,创作,《世纪转换中的马克思主义》
成功,鼓舞了,信心
抽象,属于,辩证思维方法
抽象,否定,感性
抽象,上升到,具体
抽象活动,体现了,能动性和创造性
传统观念,被当作,不合理性
创世科学,不是,科学
创世科学,而是,宗教
创新,包含,科技创新
创新,包含,文化创新
创新,包含,知识创新
创新,包含,制度创新
创造,存在于,反映
创造,离不开,反映
磁铁,吸引,铁屑
存在,阻碍了,发展
错误,转为,正确
达尔文,发现了,发展规律
达尔文,提出,进化论
达尔文,有力打击了,形而上学
大工业,开创了,世界历史
大工业,消灭了,状态
大陆体系,也称,大陆封锁
大同,是,价值共识
大同,是,文化基础
党的十九大,强调了,意义
党中央,战胜了,挑战
道勃雷,教导,巡丁西可尔
道德,具有,历史性
德尔,编著,《重农学派》
德行,优于,知识
德里达,属于,法国
德里达,不能没有,马克思
邓小平,创作,《解放思想，实事求是，团结一致向前看》
邓小平,评价,毛泽东思想
邓小平,访问,日本
邓小平,开创了,中国特色社会主义
邓小平,乘船到,中山
狄德罗,创作,《拉摩的侄子》
迪亚士,绕过其南端,非洲
迪亚士,发现,好望角
帝国主义,出兵,山东
帝国主义,是最高阶段,资本主义
第一国际,诞生,1864年
第一国际,确立了,地位
第一国际,促进了,结合
典礼,失去,内容
斗争,促进,变化
斗争,成为,工具
斗争性,是,绝对的
斗争性,寓于,同一性
斗争性,是,无条件的
杜林,创作,《合理的物理和化学的新的基本定律》
杜林,属于,德国
杜林,是行家,社会主义
对立属性,又称,斗争性
对立统一规律,揭示了,内在动力
对立统一规律,是其实质和核心,唯物辩证法
对立性,又称为,斗争性
恩格斯,撰写了,《德意志意识形态》
恩格斯,撰写了,《反杜林论》
恩格斯,创作,《共产党宣言》
恩格斯,撰写了,《共产党宣言》
恩格斯,创作,《国民经济学批判大纲）
恩格斯,创作,《家庭、私有制和国家的起源》
恩格斯,创作,《卡·马克思资本论第卷书评为民主周报）作》
恩格斯,创作,《路德维希·费尔巴哈和德国古典哲学的终结》
恩格斯,创作,《在马克思墓前的讲话》
恩格斯,整理出版,《资本论》
恩格斯,援引,《最近发生的莱比锡大屠杀》
恩格斯,诞生于,1820年11月28日
恩格斯,去世于,1895年8月5日
恩格斯,途径,巴黎
恩格斯,出生,巴门
恩格斯,出生在,德国
恩格斯,回到,德国
恩格斯,领导,共产主义者同盟
恩格斯,创立,科学社会主义
恩格斯,总结和概括了,历史事实
恩格斯,去世于,伦敦
恩格斯,会见了,马克思
恩格斯,开始合作,马克思
恩格斯,认为自己能超越,马克思
恩格斯,援助,马克思
恩格斯,创立,马克思主义
恩格斯,捍卫和发展,马克思主义
恩格斯,全面阐述了其体系,马克思主义
恩格斯,是创始人,马克思主义
恩格斯,诞生于,普鲁士
恩格斯,揭示,人类社会发展一般规律
恩格斯,创立,剩余价值
恩格斯,创立,唯物史观
恩格斯,对其做了初步概括,物质
恩格斯,经商,英国
恩格斯,流亡至,英国
恩格斯,参加了,正义者同盟
恩格斯,论述了,重要性
发明和使用,推动了,发展
发展,有,必然性
发展,导致,变革
发展,决定,变化
发展,导致,到来
发展,推动了,扩大
发展,加强了,联系
发展,加快了,流动
发展,根本原因在于,内部矛盾
发展,具有,普遍性
发展,取决于,其他一切人
发展,是其关键词,唯物辩证法
发展,具有,意义
发展,推动了,增加
发展,推动了,转变
发展水平,取决于,哲学
发展水平,取决于,自然科学发展水平
发展性,集中地体现为,革命性
发展与深化,离不开,创新
发张,呈现出,周期性
法国,进行起义,1834年
法国,战争,普鲁士
反映,离不开,创造
反作用,取决于和服从于,性质和客观要求
方法,即,理论
飞跃,就是,突变
非理性因素,激活,认识活动
非理性因素,驱动,认识活动
吠狗,是,看门狗
费尔巴哈,属于,德国
费尔巴哈,解释了,黑格尔辩证法
分离,促进了,发展
分析,属于,辩证思维方法
分析,相互区别，相互依存、相互补充、相互转化,综合
佛学,不是,宗教
否定观,揭示了,内涵
否定规律,揭示了,统一
弗·恩格斯,撰写,反杜林论
傅立叶,创作,《关于四种运动和普遍命运的理论》
傅立叶,观点相反,圣西门
富矿,能提供更多金属,贫矿
改变观念,是,改变世界
改革,是,革命
改良主义,成为,绊脚石
改善,有助于,发展
改造世界,相互依赖、相互制约、辩证统一,认识世界
概念,是形式,理性认识
感觉,是其起点,感性认识
感性,辩证关系,理性
感性,被认为微不足道,圣布鲁诺
感性具体,是其七点,认识
感性认识,辩证统一,理性认识
感性认识,到,理性认识
感性认识,第一次飞跃,理性认识
感性认识,互相依赖相互渗透,理性认识
感性认识,上升到,理性认识
感性认识,相互包含,理性认识
感性认识,相互渗透,理性认识
感性认识,相互转化,理性认识
感性认识,相互渗透,理性认识
感性认识,有待于发展到,理性认识
感性认识,有待于发展和深化为,理性认识
感性认识,中渗透着,理性认识
感性认识,是初级阶段,认识
歌德,创作,《浮士德》
革命,降低了,成本
革命,是其手段,社会形态
革命,加快了,速度
革命理论,派生,革命运动
革命性,是其内在品质,马克思主义
个别劳动时间,指,劳动时间
个性,是,条件的
个性,是,相对的
各国,建立了,体制
更替,取决于,发展
工人阶级,反对,侵略政策和战争政策
工人阶级,开展,政治斗争
工人阶级,是推动其发生变化的力量,资本主义
工业革命和技术革命,促进了,发展
工业革命和技术革命,提高了,劳动生产率
公有制,取代,私有制
功利利益观,对立,共同利益观
共昂·圣百门,创作,《实业家问答》
共产党,应成为主心骨,人民
共产党,领导建设,社会主义
共产主义,是,理想
共产主义,是能够实现的,理想
共产主义,废除,私有制
共产主义,是,无神论
共产主义,要废除永恒的,真理
共产主义,是根本转变,资本主义
共产主义,要废除其所有制,资产阶级
共性,离不开,个性
共性,寓于,个性
共性,是,绝对的
共性,是,无条件的
构成,包含,因素
关系,贯穿于,始终
归纳,属于,辩证思维方法
归纳,不可分割,演绎
归纳,互为前提,演绎
归纳,为其提供前提,演绎
归纳,相互区别，相互依存、相互补充、相互转化,演绎
规律,是一种,联系
规律和范畴,揭示了,普遍规律
郭沫若,创作,《赞石林奇观》
郭沫若,创作,《长春好》
国际工人协会,成立,1864年9月
国家,推出,计划
国家,调节,经济过程和经济活动
国家,代表,利益
国家,用于,所有权和控制权
国家,实施,政策
国体,决定,政体
过朝,就是,过廷
哈贝马斯,属于,德国
海克尔,肯定了功绩,奥肯
海克尔,肯定了功绩,特雷维腊努斯
汉字,是,拼形文字
行为,先于,语言
合作,而不是,对抗
和平,而不是,战争
和谐,是,相对的
和谐,是,有条件的
黑格尔,创作,《历史哲学》
黑格尔,创作,《自然哲学》
黑格尔,属于,德国
黑格尔,远远落后于,康德
黑格尔,类似,圣西门
黑格尔,完成,唯心主义
洪东流,写了,《“人体特异功能科学讨论会”观察记》
胡福,撰写,《实践是检验真理的唯一标准》
互联网,带来历史机遇,创新
荒谬感,产生于,对立
活动,彰显了,创造性意义
货币,是,创造力
霍恩舒,在,洛桑
机器,适应着,软弱性
